************************************
* 隐马尔科夫模型统计
名称 start middle end
*******************************************

印,79,23,59
似,5,6,18
存,44,36,51
婚,34,14,35
针,30,15,42
扮,6,1,5
失,94,9,22
败,31,5,22
探,61,6,22
杭,45,3,5
固,42,22,22
诊,12,6,21
断,67,12,49
烈,18,14,53
察,16,51,32
访,13,8,25
挑,33,2,5
某,29,1,31
预,73,3,3
即,24,5,8
顷,3,3,7
讲,45,10,12
姓,2,6,23
仪,28,7,109
写,35,4,37
佛,69,24,41
覆,13,4,9
盖,39,19,40
读,32,12,44
轻,72,5,10
粮,22,11,34
损,11,9,21
华,232,75,259
妇,16,7,37
率,11,5,193
翻,69,3,17
译,22,12,19
启,36,43,16
咨,12,0,1
弃,19,2,21
含,50,7,13
幕,9,13,32
染,20,17,23
边,60,25,95
朝,68,39,67
鲜,35,10,15
审,44,15,29
黑,223,23,34
洋,62,44,69
犯,32,0,38
罪,18,8,58
哲,12,21,44
怎,13,2,0
狐,15,10,12
顺,62,34,65
舞,43,16,69
蹈,1,7,2
遍,9,2,10
汇,32,15,27
途,4,6,27
思,71,92,85
局,23,11,202
凭,17,0,5
借,43,3,9
矛,6,2,1
盾,4,5,13
蔬,3,0,2
菜,45,13,114
转,144,21,50
余,164,10,24
截,23,4,5
励,6,4,8
张,938,20,32
旨,3,1,20
栽,12,2,2
停,48,2,9
忆,9,6,4
危,36,4,11
鼓,37,15,38
清,219,79,132
走,70,1,57
宇,33,32,98
宙,2,7,8
县,42,10,1208
线,35,43,296
辆,1,2,4
惯,8,3,6
初,84,5,52
劳,68,19,29
届,2,1,14
约,40,25,66
丈,7,7,8
夫,19,85,211
污,19,7,14
土,147,38,107
壤,4,5,10
繁,32,7,5
殖,4,18,11
缺,34,4,17
乏,5,2,10
春,82,83,111
秋,77,37,62
乾,24,8,18
隆,41,37,61
兴,96,74,107
趣,5,4,27
做,57,2,17
呈,16,6,4
趋,9,1,1
巴,205,69,70
答,25,5,13
绘,6,4,8
坛,7,3,42
廷,3,52,38
黄,555,43,63
异,94,17,35
阳,86,193,178
光,157,144,270
智,47,50,64
慧,21,42,55
阅,10,3,15
眼,81,40,112
睛,1,1,11
唐,255,20,20
臣,8,8,78
刺,39,13,26
激,41,11,10
巧,22,10,29
魔,59,14,30
晚,36,6,16
贷,7,5,10
款,11,12,65
射,38,54,53
彻,7,3,12
底,36,27,74
肯,16,6,11
锋,6,12,44
两,69,6,5
侧,33,1,28
循,11,6,5
落,64,17,78
纽,19,3,3
托,70,32,64
阵,22,12,52
擅,6,0,1
栏,6,7,34
德,174,229,366
杰,35,16,120
伟,11,41,110
股,27,16,52
熙,5,22,44
贵,51,30,59
绕,16,2,8
胁,3,4,5
荷,23,11,25
兰,92,103,160
毒,53,27,57
旦,2,9,25
杀,57,16,53
沟,19,6,78
允,6,25,17
许,135,6,26
鉴,20,5,15
黎,46,19,14
姻,2,1,2
牺,4,1,0
牲,3,7,3
撤,19,0,3
判,18,12,12
辖,6,5,7
返,21,0,6
魅,5,0,2
贯,5,5,13
衡,20,9,42
厂,17,10,114
券,2,7,22
饮,21,7,14
蒙,70,31,50
累,20,4,15
抗,88,10,11
室,16,9,132
纷,9,2,4
孔,118,15,32
颁,8,0,0
房,66,26,168
差,33,7,58
刻,30,10,30
浓,25,3,5
块,12,7,43
档,11,3,23
层,21,13,106
诞,4,5,7
怀,64,38,42
灵,100,49,78
魂,2,17,34
妹,6,12,37
订,17,6,15
热,135,36,82
庄,67,18,153
爆,27,8,11
役,4,7,24
欣,11,16,39
赏,16,9,20
楚,90,22,34
径,8,9,30
货,29,18,63
招,81,8,23
混,54,4,8
靠,18,3,12
嘉,63,70,56
宾,19,33,32
轨,6,1,25
恐,17,2,7
怖,0,2,4
待,21,9,27
塑,17,9,11
警,57,11,24
怪,34,8,31
兽,17,5,44
衣,41,27,103
玻,25,1,0
璃,0,19,6
痛,28,7,47
苦,71,5,33
宜,42,21,30
石,356,83,268
油,98,54,116
纤,21,10,4
冲,80,26,49
伦,30,43,102
敦,12,22,15
邮,34,3,7
爸,2,0,5
阻,25,7,16
血,104,41,83
液,27,12,69
尺,8,6,19
寸,16,1,9
冬,51,23,34
屋,25,5,56
洛,93,75,56
腊,10,8,8
旗,19,12,63
辅,24,10,17
夏,190,18,46
燥,2,3,6
币,3,6,29
若,42,40,29
岗,17,35,57
延,70,37,39
伸,23,2,9
御,59,15,7
抑,11,3,3
叫,35,9,27
哥,25,15,83
休,44,8,21
闲,31,12,16
拟,21,8,6
矿,40,17,69
换,50,10,23
姐,10,12,38
越,59,16,64
沈,142,3,2
良,44,42,110
奇,81,31,128
竟,8,1,3
辽,26,6,6
宁,84,65,135
占,48,21,19
圆,74,18,32
罗,364,102,130
马,582,138,154
骨,58,38,96
甘,57,13,13
肃,15,8,14
隶,3,6,5
渠,10,5,21
悠,13,3,7
久,34,17,26
暗,72,5,8
沿,19,2,9
辐,15,5,0
陷,11,2,14
迹,2,2,39
宋,254,10,14
松,123,36,102
岸,15,13,37
板,56,28,150
肿,9,1,16
瘤,2,5,20
除,40,3,36
涵,10,2,26
奏,15,12,21
悉,3,3,8
尊,21,11,19
辉,21,11,89
煌,1,6,10
岛,24,28,219
玉,180,100,142
瑞,44,58,68
润,19,24,39
茶,71,10,73
叶,228,49,80
递,14,2,8
篮,13,4,13
闻,34,29,40
绎,0,2,3
归,75,10,28
撑,12,2,3
碍,4,4,7
跃,12,10,22
硬,60,7,14
偶,19,5,13
像,8,26,51
花,229,113,239
沙,150,49,58
澳,9,8,9
愿,4,8,24
违,21,0,5
袖,10,2,11
午,15,9,15
税,30,8,70
兵,59,36,184
撰,7,1,4
暖,29,7,18
绪,2,8,20
纸,51,12,68
王,996,67,285
絮,5,2,7
灭,24,6,23
曹,154,2,7
蓝,101,21,32
遭,13,0,7
遇,12,8,25
暂,11,0,1
弹,50,15,53
头,92,143,358
抓,24,2,5
仰,29,4,8
尝,5,3,5
乃,13,37,11
祭,29,4,16
祀,0,1,3
烧,50,11,19
拓,21,5,6
礼,45,32,96
够,7,0,5
袭,9,3,20
俗,17,8,27
晰,1,1,3
肌,21,5,42
肉,61,13,77
裁,22,11,14
溶,26,13,13
骤,7,0,3
炸,16,6,5
耗,18,6,15
泥,51,19,19
替,11,2,8
番,19,16,13
退,53,6,22
珍,27,20,71
卓,29,16,16
野,66,31,51
掘,8,4,5
匀,4,3,4
菩,9,4,0
萨,98,41,39
半,79,20,14
舒,52,13,22
诺,43,38,71
署,3,3,29
昆,31,14,14
旋,26,13,18
聚,59,22,18
凤,80,52,50
凰,2,13,5
驾,19,3,18
驶,11,9,4
跟,19,7,6
踪,2,1,10
奠,7,1,1
宅,13,5,17
氏,2,24,241
骑,23,8,10
储,39,6,9
剂,2,6,176
逻,5,8,2
宪,9,21,31
苹,6,3,0
岩,49,26,133
桥,42,19,194
梁,222,23,65
遵,13,3,2
守,60,40,46
慈,37,10,15
聪,5,4,21
饲,11,2,3
厦,12,5,5
垂,32,5,9
额,14,5,69
厚,31,18,44
祝,28,3,9
月,80,60,99
蛋,19,20,39
坦,25,16,28
克,134,196,278
郑,184,6,4
扬,35,7,65
邦,16,37,76
虚,56,8,28
褐,15,13,4
餐,15,8,31
厅,7,2,70
刷,12,9,9
稻,19,3,11
驱,26,4,7
波,100,50,138
隧,2,1,0
菌,13,21,49
赔,14,1,3
偿,4,7,9
陶,74,15,19
瓷,20,6,17
洁,6,23,49
齐,104,24,44
潜,40,12,13
呼,57,8,21
私,68,3,14
奥,160,27,38
岁,12,2,26
穿,30,1,13
函,8,4,15
携,5,4,3
谈,26,9,45
徐,332,4,4
脂,20,16,22
肪,0,4,4
透,39,14,18
露,34,24,41
诸,89,1,11
侯,78,22,44
框,4,0,13
架,18,7,67
唤,5,5,9
刚,30,11,81
散,70,11,57
恋,17,4,28
堂,25,29,209
泉,20,49,97
雕,18,1,28
末,25,12,37
钢,55,15,61
琴,17,11,61
镜,20,24,73
吃,54,7,16
饭,25,9,56
纯,44,6,18
诚,13,11,50
瀑,1,6,2
草,103,30,145
豪,37,6,50
班,48,20,89
船,56,13,89
舶,1,2,1
援,13,8,19
树,56,57,146
急,53,4,22
氛,1,1,1
董,82,7,5
味,9,20,65
喻,17,3,8
疼,3,1,5
麦,104,22,24
剪,25,4,5
柔,29,11,16
忙,9,2,21
脱,64,4,19
隐,38,11,16
擎,2,0,3
粉,39,17,67
丝,37,37,86
煤,42,8,24
炭,10,6,14
巩,14,2,4
疯,16,6,6
狂,41,2,16
吉,99,60,67
瞬,7,2,2
彰,6,2,5
搭,27,2,3
漂,12,1,3
亮,23,12,106
醒,8,3,17
脏,11,3,9
倾,32,7,6
竣,1,0,1
听,52,6,32
怕,8,3,12
罕,5,7,13
乱,41,4,49
挖,17,3,2
湿,17,12,23
赋,10,2,35
峰,11,50,184
窗,23,3,25
奉,44,9,17
姑,19,22,19
娘,16,23,78
谢,164,8,16
泳,6,11,12
纳,84,53,140
纵,31,4,9
横,99,4,9
扰,8,3,18
夺,20,5,14
谨,6,3,5
摇,28,8,9
滚,31,8,8
纺,18,8,14
晋,70,17,24
裂,16,6,22
惠,68,58,49
捐,15,1,3
赠,12,2,13
端,32,11,54
丹,78,33,81
池,25,16,91
送,50,11,41
慢,31,7,12
净,36,7,19
浪,21,20,31
火,158,47,116
箭,15,15,19
幅,5,3,26
筹,20,5,9
阔,13,9,11
冒,33,2,4
仿,20,3,5
灾,14,4,23
贫,32,1,9
君,24,39,129
倡,6,2,4
木,185,90,138
减,60,2,17
奋,14,3,10
零,30,5,10
舰,11,3,33
婴,8,12,13
貌,1,1,19
狱,6,4,16
葡,14,4,0
萄,0,11,4
龙,221,93,250
肥,34,10,27
讼,2,3,4
赖,33,15,16
胆,30,8,16
愤,8,2,14
怒,23,1,31
腻,4,1,7
旧,76,7,22
垃,8,0,1
圾,0,7,1
尸,10,7,19
罚,8,1,11
宿,37,12,24
舍,21,15,31
乘,38,3,16
坐,54,4,24
鲁,121,83,41
苗,42,6,33
灌,24,6,6
溉,0,2,1
宰,12,9,8
卉,0,0,1
庞,40,3,2
宝,128,85,122
贝,84,38,32
寓,6,3,4
曝,4,0,0
脉,17,8,41
寺,16,8,327
锻,7,0,1
炼,21,4,13
丛,16,4,15
勇,18,11,63
敢,8,3,9
豆,40,26,29
瓣,3,3,5
阴,86,20,21
渡,17,28,33
雷,147,61,88
敏,7,47,85
恶,48,6,24
孙,270,28,47
洗,68,7,22
雨,59,39,104
座,26,10,93
艰,9,0,3
颗,5,3,1
粒,8,16,21
秩,4,0,1
顶,44,19,57
派,28,5,138
遣,8,4,8
孕,8,5,8
雅,62,53,66
抵,26,2,9
幽,38,4,7
默,25,16,22
拯,1,1,2
救,47,7,22
笑,35,19,80
摆,30,2,10
陈,609,7,13
洪,111,40,41
虫,17,24,112
陛,1,2,0
缓,26,2,16
辟,5,2,5
裔,0,0,6
昌,37,66,106
庙,28,8,84
粤,15,2,3
谋,24,8,28
寿,49,38,48
忽,16,2,10
堪,6,2,7
奶,23,12,25
暴,47,8,23
祖,62,63,75
